,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,description
0,202001150102116-1-JI4D3VHDR94NB6,白描,888.0,888.0,征服赛季,4,4,204,"缺少,弓张机,弓吕蒙,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001242102116-1-P2TMKL7Q4BVUWW,青恋往,200.0,200.0,征服赛季,0,0,66,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001251402116-1-L9JWEKBOQZKF4D,天文奇观,300.0,200.0,备战区,4,3,116,"缺少,步刘备,弓张机,骑曹操,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001251302116-1-SC0XSCNLR4OSVU,鎮丨蕭婁,1200.0,1200.0,征服赛季,13,6,251,"缺少,弓张机,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉"
0,202001191502116-1-WJQ8DDYRQ7JGUY,瓜皮的曹操爹,2000.0,1000.0,征服赛季,2,5,323,"缺少,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,201912272002116-1-WKZK5FVJSTSHHA,大梨,600.0,800.0,备战区,6,4,194,"缺少,步刘备,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001241102116-1-Z6SVNXRIWAMWFV,吴亦凡小老弟,200.0,200.0,征服赛季,3,0,81,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201911101902116-1-GI6HTOAYRIVO3S,贼菜,2000.0,2500.0,备战区,21,7,416,"缺少,弓孙权,步皇甫嵩,步董卓,骑马超,步貂蝉,弓诸葛亮"
0,202001251602116-1-UFKGLUCGXVBLCL,仙人指路,280.0,280.0,备战区,1,1,122,"缺少,步刘备,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201910231102116-1-U9LLRJ5DP67TZY,L改变命运,2700.0,3900.0,备战区,22,8,375,"缺少,步皇甫嵩,步董卓,步貂蝉,弓诸葛亮,骑徐庶"
0,202001071102116-1-DVVZEU5GHUOCOG,帝都乄杀无赦,800.0,5000.0,征服赛季,2,4,220,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,步貂蝉,骑徐庶"
0,202001242302116-1-DVVEUCAWVS1AZA,千阳君,2000.0,2000.0,征服赛季,2,7,309,"缺少,弓孙权,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉"
0,202001161402116-1-B4Z8MTTL0CAQGL,91言午,3166.0,3166.0,征服赛季,0,6,373,"缺少,步刘备,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉"
0,202001161402116-1-B4Z8MTTL0CAQGL,91言午,3166.0,3166.0,征服赛季,0,6,373,"缺少,步刘备,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉"
0,201912222102116-1-PYOTUBLX6QRZSJ,屠城万里,229.0,222.0,备战区,3,1,108,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
