,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,skill_value
0,202001282102116-1-0BHPPJKYXLCLMD,鸿丨领巾,3888.0,3888.0,征服赛季,1,6,255,1
0,201912131502116-1-2R2ODD8M0S3491,鶥坞射声军,2000.0,3000.0,备战区,17,6,272,1
0,202001290002116-1-7DF3UHXMSNEFIO,北凉丨白羽,666.0,750.0,征服赛季,0,4,145,1
0,202001281502116-1-EP4QHOKIP2SJEL,Top,200.0,200.0,备战区,23,4,126,1
0,202001241202116-1-U7SDKBGXMIIEBJ,夜幕丶长右,1600.0,1600.0,备战区,5,7,260,1
0,202001280302116-1-IFJMHLHNXZHLX9,十殿阎罗,2400.0,2600.0,征服赛季,8,9,257,1
0,202001212002116-1-Q0KAHAJN6WC4UV,神丶關羽,3999.0,3999.0,备战区,10,8,338,1
0,202001281402116-1-IVDOZFTAKWBEH4,常山龙,888.0,888.0,备战区,0,2,156,1
0,201912272302116-1-PTOZ9AUNAJHBW1,东雨,2477.0,2499.0,征服赛季,6,5,303,1
0,202001071702116-1-MJFTNQH5GAN2LX,高陆十八步,200.0,200.0,备战区,0,1,56,1
0,201910051702116-1-RB2Z4DYHRI1D0V,御丶虎卫军,3299.0,6500.0,备战区,15,8,309,1
0,202001191102116-1-WEYO0CB4YYPCHK,骁骑卫,666.0,900.0,备战区,4,5,186,1
0,202001280902116-1-9MRGKWPSWH8TRF,梦丶逍遥,200.0,200.0,备战区,35,2,105,1
0,201910122102116-1-YZMQDRLJN9RB7Q,赤焰丶清风歌,630.0,2500.0,备战区,15,3,97,1
0,201911251802116-1-O7BTRRTHSSK1DD,Chen,200.0,500.0,备战区,3,1,62,1
0,202001052002116-1-O3RDI9I2SUI8VD,黄超人,600.0,799.0,征服赛季,6,4,164,1
0,202001251602116-1-UWLHZTYKZZB0SD,诸葛丶樵夫,450.0,450.0,征服赛季,10,3,149,1
0,201910191502116-1-9V7NZCSXILR2UZ,亚特兰蒂斯,200.0,220.0,备战区,3,1,115,1
0,202001131602116-1-MGUKMDW7RC4362,别殺我我还小,1199.0,1599.0,征服赛季,8,7,194,1
0,202001112102116-1-VPFW9V9RWCS1RM,风林丶陆伯言,300.0,500.0,备战区,0,4,127,1
0,202001282102116-1-MKJSMD02FXJJDO,丑王,3600.0,3600.0,备战区,3,7,382,1
0,201902191602116-1-JFO9JNGBPIWR3B,无双丨听雪,2298.0,4998.0,备战区,9,6,312,1
0,202001071702116-1-UXO1DOBZCU8KKD,君灬策桃源,569.0,980.0,备战区,11,3,115,1
